trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	8	1	1	1.607480	0
1	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	27	1	1	0.376060	0
2	white	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	31	1	1	0.210680	0
3	white	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	4	0	1	0.293950	0
4	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	25	0	1	0.797710	0
5	white	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	19	0	1	0.234460	0
6	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	22	1	1	0.349240	0
7	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	37	0	1	0.540160	0
8	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	6	1	1	0.180180	0
9	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	33	0	1	0.454190	0
10	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	28	0	1	0.738650	0
11	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	11	0	1	0.243170	0
12	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	36	1	1	0.141280	0
13	white	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	2	1	0	0.817060	0
14	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	33	0	0	1.093150	0
15	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	0	33	0	1	0.382520	0
16	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	0	0	1	0.395760	0
17	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	23	0	1	0.290120	0
18	white	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	12	0	1	0.197080	0
19	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	12	0	1	0.559660	0
20	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	1	6	0	0	0.323040	0
21	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	3	1	0	0.273900	0
22	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	11	1	1	0.219700	0
23	white	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	2	1	1	0.429160	0
