trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	0	7	0	1	0.573770	0
1	white	0.200000	0.020000	0.950000	100.000000	0.500000	1	1	33	1	1	0.473500	0
2	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	21	1	1	0.387610	0
3	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	0	20	0	1	0.324510	0
4	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	0	0	4	0	1	0.234830	0
5	white	0.200000	0.020000	0.150000	100.000000	0.500000	0	0	3	0	1	0.250700	0
6	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	1	1	1	1	0.325230	0
7	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.500000	1	0	13	0	1	0.266630	0
8	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	1	1	19	1	1	0.362680	0
9	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	7	1	1	0.444370	0
10	pink2	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	8	1	1	0.370990	0
11	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	0	1	37	1	1	0.268920	0
12	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	1	0	29	0	1	0.336210	0
13	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	0	1	14	1	1	0.349740	0
14	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	33	1	1	0.307470	0
15	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	16	0	1	0.566400	0
16	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	4	0	1	0.499690	0
17	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	1	12	1	1	0.595920	0
18	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	11	0	1	0.664770	0
19	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	1	28	1	1	0.591000	0
20	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	12	0	1	0.525940	0
21	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	0	25	0	1	0.468320	0
22	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	8	1	1	1.583670	0
23	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	28	1	1	1.967070	0
24	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	0	38	0	1	0.976210	0
25	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	17	1	1	0.491780	0
26	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	3	1	1	0.980660	0
27	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	0	27	0	1	0.438390	0
28	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	1	22	1	1	0.459410	0
29	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	31	0	1	0.348650	0
30	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	17	0	1	0.264570	0
31	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	1	11	1	1	0.427620	0
32	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	0	0	1	0.118760	0
33	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	26	1	1	0.243010	0
34	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	0	38	0	1	0.282040	0
35	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	25	0	1	0.291200	0
36	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	1	18	1	1	0.272530	0
37	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	0	21	0	1	0.405780	0
38	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	27	0	1	0.276990	0
39	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	1	1	1	0.247800	0
40	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	1	36	1	1	0.427860	0
41	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	30	0	1	0.234120	0
42	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	15	0	1	0.770810	0
43	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	30	0	1	0.175710	0
44	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	38	1	1	0.121090	0
45	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	24	0	1	0.320390	0
46	white	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	6	1	1	0.120160	0
47	none	0.200000	0.010000	0.150000	100.000000	0.200000	1	0	3	0	1	0.277820	0
48	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	0	2	0	1	0.290160	0
49	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	37	1	1	0.156690	0
50	none	0.200000	0.010000	0.150000	100.000000	0.200000	1	1	18	1	1	0.306430	0
51	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	11	1	1	0.374640	0
52	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	0	7	0	1	0.307750	0
53	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	10	1	1	0.318250	0
54	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	0	1	9	1	1	0.302450	0
55	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	12	1	1	0.307210	0
56	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	0	0	1	0.406380	0
57	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	13	0	1	0.426990	0
58	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	1	21	1	1	0.258960	0
59	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	1	1	7	1	1	0.123470	0
trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	0	0	1	0	1	0.222320	0
1	white	0.200000	0.020000	0.950000	100.000000	0.500000	1	1	27	1	1	0.440470	0
2	white	0.200000	0.030000	0.048000	100.000000	0.500000	1	0	36	0	1	0.262660	0
3	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	0	20	0	1	0.220990	0
4	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	0	1	11	1	1	0.394380	0
5	white	0.200000	0.020000	0.150000	100.000000	0.500000	0	0	34	0	1	0.199210	0
6	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	11	0	1	0.418320	0
7	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.500000	0	0	19	0	1	0.316170	0
8	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	0	1	6	1	1	0.440000	0
9	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	30	1	1	0.246090	0
10	pink2	0.200000	0.015000	0.150000	100.000000	0.500000	0	1	34	1	1	0.204040	0
11	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	0	0	11	0	1	0.190230	0
12	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	1	22	1	1	0.286890	0
13	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	1	1	9	1	1	0.222250	0
14	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	38	1	1	0.265650	0
15	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	17	1	1	0.439110	0
16	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	39	0	1	0.379740	0
17	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	0	0	2	0	1	0.359620	0
18	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	20	0	1	0.235360	0
19	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	1	20	1	1	0.316410	0
20	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	15	1	1	0.546230	0
21	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	0	31	0	1	0.245870	0
22	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	25	0	1	0.343750	0
23	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	36	1	1	0.539670	0
24	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	0	0	24	0	1	0.315110	0
25	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	4	0	1	0.311990	0
26	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	5	0	1	0.240180	0
27	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	1	28	1	1	0.432320	0
28	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	1	25	1	1	0.261010	0
29	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	18	1	1	0.333210	0
30	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	4	0	1	0.205350	0
31	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	0	0	9	0	1	0.175810	0
32	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	30	1	1	0.361800	0
33	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	16	1	1	0.140060	0
34	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	1	5	1	1	0.226030	0
35	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	0	0	24	0	1	0.065830	0
36	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	0	30	0	1	0.443530	0
37	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	18	1	1	0.652890	0
38	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	0	0	1	0.247850	0
39	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	3	1	1	0.320860	0
40	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	1	39	1	1	0.177960	0
41	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	2	0	1	0.128170	0
42	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	21	1	1	0.172820	0
43	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	1	0	1	0.133900	0
44	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	17	1	1	0.284120	0
45	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	23	1	1	0.164080	0
46	white	0.200000	0.020000	0.150000	100.000000	0.200000	1	0	12	0	1	0.092030	0
47	none	0.200000	0.010000	0.150000	100.000000	0.200000	1	0	11	0	1	0.293760	0
48	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	5	1	1	0.228850	0
49	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	39	1	1	0.378560	0
50	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	1	30	1	1	0.201890	0
51	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	18	1	1	0.222270	0
52	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	0	34	0	1	0.258780	0
53	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	30	0	1	0.259150	0
54	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	0	1	0	1	0.256780	0
55	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	9	0	1	0.182920	0
56	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	27	0	1	0.191010	0
57	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	11	0	1	0.184820	0
58	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	0	21	0	1	0.133320	0
59	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	1	25	1	1	0.178880	0
