trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	36	1	1	0.302800	0
1	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	18	1	1	0.204870	0
2	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	26	1	1	0.244440	0
3	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	3	1	1	0.178890	0
4	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	5	0	1	0.606030	0
5	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	29	1	1	0.355210	0
6	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	35	0	1	0.433250	1
7	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	4	1	1	0.204620	0
8	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	24	1	1	0.224660	0
9	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	23	0	0	0.269080	0
10	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	3	1	1	0.208690	0
11	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	21	0	1	0.224590	0
12	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	7	0	1	0.240850	0
13	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	38	1	1	0.237650	0
14	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	24	1	1	0.201880	0
15	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	5	0	1	0.203890	0
16	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	27	0	1	0.475120	0
17	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	31	1	1	0.437810	0
18	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	4	0	1	0.184280	0
19	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	4	0	1	0.209490	0
20	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	18	0	0	0.243200	0
21	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	29	0	1	0.248250	0
22	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	35	0	1	0.295090	0
23	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	24	1	1	0.372710	0
24	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	16	1	0	0.281570	0
25	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	0	0	0	0.249520	0
26	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	19	1	1	0.450830	0
27	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	34	0	1	0.248350	0
28	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	1	1	1	0.252760	0
29	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	17	1	1	0.224600	0
30	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	38	1	1	0.306420	0
31	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	13	1	1	0.251780	0
32	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	27	0	1	0.355780	0
33	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	16	1	1	0.296300	0
34	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	33	0	1	0.426690	0
35	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	31	0	1	0.240690	0
36	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	36	0	1	0.178970	0
37	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	6	1	1	0.232900	0
38	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	3	1	1	0.269660	0
39	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	15	0	1	0.353820	0
40	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	20	1	1	0.228860	0
41	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	22	0	1	0.154360	0
42	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	18	0	1	0.207630	0
