trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	25	0	1	0.372900	0
1	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	1	27	1	1	0.553920	0
2	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	26	0	1	0.273090	0
3	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	11	1	1	0.135070	0
4	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	35	1	1	0.271500	0
5	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	23	1	1	0.483930	0
6	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	25	0	1	0.533160	0
7	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	24	0	0	0.462880	0
8	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	1	33	1	1	0.407560	0
9	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	1	16	0	0	0.260920	0
10	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	17	0	1	0.375500	0
11	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	17	1	1	0.241250	0
12	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	0	12	0	1	0.273170	0
13	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	19	1	1	0.190000	0
14	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	37	0	1	0.225290	0
15	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	0	4	0	1	0.367280	0
16	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	0	4	0	1	0.318170	0
17	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	7	0	1	0.302260	0
18	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	13	1	0	0.276890	0
19	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	1	18	1	1	0.224700	0
20	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	1	21	1	1	0.226700	0
21	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	0	21	0	1	0.220490	0
22	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	9	1	1	0.188330	0
23	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	12	1	1	0.226620	0
24	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	24	1	1	0.281800	0
25	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	1	14	1	1	0.223380	0
26	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	15	1	0	0.224340	0
27	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	6	1	1	0.387950	0
28	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	18	1	1	0.145410	0
29	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	1	14	1	1	0.158220	0
30	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	5	1	0	0.295810	0
31	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	1	20	0	0	0.434610	0
32	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	35	1	0	0.214760	0
33	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	31	1	0	0.270090	0
34	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	0	1	0	0.259630	0
35	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	24	1	1	0.262580	0
36	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	35	1	1	0.326670	0
37	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	16	1	1	0.199460	0
38	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	22	0	1	0.222910	0
39	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	2	0	1	0.329300	0
40	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	0	1	1	0.178180	0
41	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	33	0	1	0.228310	0
42	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	0	9	0	1	0.372870	0
43	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	0	37	1	0	0.216450	0
44	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	7	0	1	0.181080	0
