trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	38	0	1	0.339950	0
1	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	29	0	1	0.233530	0
2	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	22	1	1	0.308220	0
3	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	37	0	1	0.669900	0
4	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	31	1	1	0.314160	0
5	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	4	1	1	0.337780	0
6	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	6	0	1	0.253640	0
7	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	3	1	1	0.295760	0
8	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	13	1	1	0.261460	0
9	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	5	1	1	0.232260	0
10	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	25	1	1	0.227380	0
11	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	35	0	1	0.232420	0
12	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	16	1	1	0.477150	0
13	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	9	1	1	0.311180	0
14	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	38	1	0	0.207850	0
15	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	21	1	0	0.218980	0
16	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	31	1	0	0.240350	0
17	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	23	0	1	0.341060	0
18	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	38	1	1	0.287590	0
19	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	31	0	0	0.632760	0
20	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	5	0	0	0.328800	0
21	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	27	1	0	0.386890	0
22	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	28	0	1	0.318540	0
23	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	37	1	1	0.231920	0
24	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	10	0	1	0.289310	0
25	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	3	0	1	0.511540	0
26	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	13	1	1	0.277760	0
27	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	23	0	1	0.172270	0
28	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	15	1	1	0.202040	0
29	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	33	0	1	0.347140	0
30	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	33	1	1	0.231840	0
31	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	11	1	1	0.289980	0
32	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	16	0	1	0.302550	0
33	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	32	0	1	0.217470	0
34	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	1	1	0	0.223330	0
35	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	39	1	1	0.337620	0
36	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	11	0	1	0.340470	0
37	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	7	1	1	0.313030	0
38	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	8	0	1	0.307600	0
39	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	29	0	0	0.358060	0
40	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	24	0	1	0.233810	0
41	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	32	1	0	0.291270	0
42	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	33	0	1	0.232050	0
43	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	6	0	1	0.304090	0
44	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	27	1	1	0.289030	0
45	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	10	0	0	0.522670	0
46	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	29	1	1	0.222540	0
47	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	26	0	1	0.262820	0
48	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	12	0	0	0.621230	0
49	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	23	0	0	0.300680	0
50	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	14	0	1	0.411080	0
