trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	39	1	1	0.360880	0
1	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	14	1	1	0.272500	0
2	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	30	1	1	0.178500	0
3	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	27	0	1	0.264910	0
4	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	10	0	1	0.288000	0
5	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	11	1	1	0.178600	0
6	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	23	1	1	0.212610	0
7	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	21	1	1	0.345040	0
8	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	16	1	1	0.247530	0
9	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	8	1	0	0.307470	0
10	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	34	0	1	0.587000	0
11	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	29	1	1	0.175980	0
12	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	1	1	1	0.255780	0
13	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	9	0	0	0.219820	0
14	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	21	0	1	0.259200	0
15	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	36	1	1	0.296640	0
16	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	27	0	1	0.260350	0
17	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	16	1	1	0.199930	0
18	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	31	1	0	0.919530	0
19	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	24	1	0	0.312380	0
20	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	2	0	1	0.206830	0
21	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	27	1	1	0.399210	0
