trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	18	0	1	0.267250	0
1	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	38	1	1	0.225080	0
2	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	17	0	1	0.395600	0
3	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	0	20	0	1	0.259930	0
4	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	13	1	0	0.249970	0
5	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	1	29	1	1	0.409450	0
6	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	36	0	1	0.391820	0
7	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	19	0	1	0.326570	0
8	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	4	0	1	0.385310	0
9	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	34	1	0	0.285410	0
10	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	10	0	1	0.248990	0
11	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	34	1	0	0.414730	0
12	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	12	0	0	0.291860	0
13	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	18	0	1	0.312020	0
14	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	0	1	1	0.294680	0
15	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	27	1	1	0.377310	0
16	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	0	32	0	1	0.403720	0
17	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	35	0	0	0.272330	0
18	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	19	1	0	0.470920	0
19	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	21	0	1	1.248730	0
20	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	10	1	1	0.594640	0
21	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	1	39	1	1	0.223310	0
22	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	0	24	0	1	0.283810	0
23	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	1	20	1	1	0.240970	0
24	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	15	1	1	0.232960	0
25	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	37	0	1	0.386870	0
26	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	20	1	1	0.191100	0
27	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	29	1	1	0.245750	0
28	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	25	0	1	0.575170	0
29	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	10	0	1	0.384220	0
30	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	33	0	1	0.286660	0
31	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	23	1	0	0.610410	0
32	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	30	1	1	0.692100	0
33	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	17	1	1	0.236700	0
34	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	6	0	0	0.296640	0
35	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	29	1	1	0.315560	0
36	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	0	26	0	1	0.275900	0
37	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	13	1	1	0.148080	0
38	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	39	0	0	0.436310	0
39	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	21	0	1	0.218770	0
40	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	1	0	0	0.229380	0
41	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	7	1	0	0.238540	0
42	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	1	0	1	0.307770	0
43	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	29	1	1	0.292690	0
44	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	0	5	0	1	0.226200	0
45	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	22	0	1	0.293160	0
