trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	0	0	19	0	1	0.478250	0
1	narrow9	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	0	0	1	0.402380	0
2	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	0	0	31	0	1	0.281040	0
3	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	0	1	29	1	1	0.241750	0
4	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	29	1	1	0.168520	0
5	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	0	15	0	1	0.256780	0
6	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	4	1	1	0.209450	0
7	none	0.200000	0.010000	0.150000	100.000000	0.500000	1	1	24	1	1	0.094530	0
8	pink2	0.200000	0.015000	0.150000	100.000000	0.500000	0	0	14	0	1	0.145050	0
9	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	1	1	3	1	1	0.134120	0
10	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	1	0	7	0	1	0.253210	0
11	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	0	1	3	1	1	0.085080	0
12	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	0	0	37	0	1	0.174860	0
13	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	15	0	1	0.225730	0
14	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	30	1	1	0.291890	0
15	white	0.200000	0.020000	0.150000	100.000000	0.200000	1	1	22	1	1	0.531220	0
16	white	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	7	0	1	0.376400	0
17	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	34	1	1	0.429550	0
18	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	35	0	1	0.432620	0
19	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	16	0	1	0.449340	0
20	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	20	1	1	0.481140	0
21	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	8	1	1	0.387030	0
22	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	1	0	1	0.474510	0
23	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	1	37	1	1	0.330800	0
24	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	28	0	1	0.402760	0
